id;Label_B_emotion;Label_A2_negative;Label_A3_neutral;Label_A1_positive
947316622582169600;0;1;1;0
947604120898117632;1;0;0;1
947414441251037185;1;0;0;1
947272911857094656;1;0;0;1
947242685890551810;0;1;0;0
947262075545505793;1;0;0;1
947559967556538369;2;0;1;0
947196356455751680;1;0;0;1
947189989242175488;1;0;0;1
947597216906137600;0;1;0;0
947611670783852545;1;0;0;1
947514228394610690;0;1;0;0
947269378806112258;2;0;1;0
947293780650098688;0;1;0;0
947397375475118081;0;1;0;0
947437502536830976;0;1;0;0
947528164678537216;0;1;0;0
947371393116721154;0;1;0;0
947356541577031680;2;0;1;0
947505114205614080;0;1;0;0
947484230220767237;2;0;1;0
947179002007048193;1;0;1;1
947490821049344001;1;0;0;1
947178506315862021;2;0;1;0
947614482431397888;2;0;1;0
947520928476487681;0;1;0;0
947183071836737536;0;1;0;0
947422367281745920;0;1;1;0
947210880831442946;2;1;1;0
947588947231813633;1;0;0;1
947573372292096000;2;0;1;0
947574648933421057;2;0;1;0
947583128352194566;1;0;0;1
947528791479418882;2;0;1;0
947563398891474945;2;0;1;0
947230415659692032;0;1;1;0
947150392424632321;2;0;1;0
947480265214984192;2;0;1;0
947290209502277632;1;0;0;1
947437779524489216;1;0;0;1
947506022133899264;0;1;0;0
947135755549331457;0;1;0;0
947481168479444993;2;0;1;0
947381870525685760;1;0;0;1
947155885826166784;2;0;1;0
947233686470250496;0;1;0;0
947584752894300161;0;1;0;0
947196877207998464;1;0;1;1
947135554294034432;0;1;1;0
947190439790211073;2;0;1;0
947435453506080768;1;0;1;1
947196406997041154;0;1;0;0
947510150407049216;2;0;1;0
947460002046009345;1;0;0;1
947214669701267456;0;1;0;0
947550965569327104;1;0;1;1
947180522576470016;1;0;0;1
947521492715220992;1;0;0;1
947494600008175620;2;0;1;0
947494789842382848;2;0;1;0
947527827750051842;0;1;1;0
947350306819538944;1;0;0;1
947148816280469504;0;1;0;0
947208800536334337;1;0;0;1
947298755354791937;0;1;0;0
947155626135711744;0;1;1;0
947324686400180224;1;0;0;1
947186138602725376;2;0;1;0
947212268659462144;0;1;0;0
947414438876938240;1;0;0;1
947180499776278529;1;0;0;1
947238357784031238;0;1;0;0
947603443560181760;0;1;0;0
947479752591511552;0;1;0;1
947250400247169024;2;0;1;0
947179315648659456;1;1;0;1
947165611154690048;2;0;1;0
947521312146194432;0;1;1;0
947225792525647873;1;0;0;1
947198573619265536;2;0;1;0
947381099407265793;2;0;1;0
947497686265139200;0;1;0;0
947362070588284928;0;1;0;0
947498904647593985;1;0;0;1
947150517842731009;2;0;1;0
947493701562933250;2;0;1;0
947507961152274434;1;0;0;1
947246042986168320;2;0;1;0
947131443452325888;0;1;0;0
947264629004173322;0;1;0;0
947128813829394432;1;1;0;1
947195102878867456;0;1;0;0
947414450944036864;2;0;1;0
947259084146987008;0;1;1;0
947347860202315777;0;1;0;0
947438970757038080;0;1;0;0
947593964034707456;1;0;0;1
947503131520356352;0;1;0;0
947201873857085440;0;1;0;0
947467914235580416;1;0;0;1
947246424592404480;0;1;0;0
947395737444388869;0;1;0;0
947492916846612480;0;1;0;0
947287696438788101;1;0;0;1
947241706835136513;2;0;1;0
947489182024458241;1;0;0;1
947170693933809665;2;0;1;0
947137566217732096;0;1;0;0
947479951355281408;1;0;0;1
947254829088428038;2;0;1;0
947160665831235584;0;1;0;0
947490159771217921;1;0;1;1
947380322085113857;2;0;1;0
947126595352965120;0;1;0;0
947153391041548288;0;1;0;0
947329802272428032;0;1;0;0
947144125861715968;0;1;0;0
947553067829829632;2;0;1;0
947539139938930688;2;0;1;0
947465553526120448;0;1;0;0
947165841044529152;0;1;0;0
947132403881005056;2;0;1;0
947223380608143361;1;0;0;1
947237755943358464;0;1;0;0
947521236988555264;2;0;1;0
947311952086388736;0;1;1;0
947180803418497025;2;0;1;0
947439749538643968;2;0;1;0
947538796601663489;0;1;1;0
947406988396322816;2;0;1;0
947521316814573573;0;1;0;0
947525360228487168;1;0;0;1
947235909816258561;1;0;0;1
947613394164645888;0;1;0;0
947510048766410753;0;1;0;0
947490106977538048;2;0;1;0
947535412964229120;2;0;1;0
947303789048057857;2;0;1;0
947527757742911488;2;0;1;0
947124714400559105;2;0;1;0
947295256432840706;0;1;0;0
947503112293675012;1;0;0;1
947335584401510400;2;0;1;0
947544146503520262;2;0;1;0
947484981231792128;0;1;0;0
947333529637093376;1;0;0;1
947273868971974656;2;0;1;0
947423929173512197;2;0;1;0
947499948160974848;2;0;1;0
947222956878393344;2;0;1;0
947226689020579840;0;1;0;1
947403495552049152;1;0;0;1
947573166574112768;2;0;1;0
947227189103288322;1;0;1;1
947229781678051328;1;0;0;1
947552939480055808;0;1;0;0
947574409883213830;2;0;1;0
947375543149883392;2;0;1;0
947593978810994688;1;0;0;1
947126232591798273;0;1;1;0
947604514667888645;2;0;1;0
947437373272547328;0;1;0;0
947138460036382721;2;0;1;0
947259592941146113;0;1;0;1
947483876263432193;1;0;0;1
947477942447280128;2;0;1;0
947531455504171009;0;1;0;0
947611831769722880;2;0;1;0
947467387338620929;2;0;1;0
947478816527716353;2;0;1;0
947482564494811137;2;0;1;0
947160229216743427;1;0;0;1
947532968427446273;2;0;1;0
947196864973234176;0;1;1;0
947588161810681856;0;1;1;0
947123199678058497;2;0;1;0
947183502512082944;1;0;0;1
947599992671256576;0;1;1;0
947499901616869378;2;0;1;0
947273871928860672;1;0;0;1
947333520988495872;1;0;0;1
947153376860663809;0;1;0;0
947282783830986752;1;0;0;1
947512029320945666;1;0;0;1
947289450303934465;1;0;0;1
947448367684182016;1;0;0;1
947185019646300163;2;0;1;0
947260192089141249;1;0;0;1
947154333799469056;2;0;1;0
947135314908336131;2;0;1;0
947520517099188225;2;0;1;0
947517194572910593;0;1;0;0
947406479287640064;2;0;1;0
947583731220533248;1;1;0;1
947586652133838855;1;0;0;1
947437652231512064;1;0;0;1
947357894982320128;2;0;1;0
947422619703435265;0;1;1;0
947494003448131584;0;1;0;0
947148494904741888;1;0;0;1
947514209524318208;0;1;0;0
947230605183471617;0;1;0;0
947526002141306881;0;1;0;0
947497669810950144;2;0;1;0
947514178163675139;0;1;1;0
947215505160572928;2;0;1;0
947452316923453441;2;0;1;0
947202386740891648;2;0;1;0
947137155880701960;0;1;0;0
947407438013136896;2;0;1;0
947602346875305984;0;1;1;0
947222411803594755;2;0;1;0
947487528243757057;2;0;1;0
947142555522576384;1;0;0;1
947279236032692226;1;1;0;1
947259603544285184;2;0;1;0
947441225992409089;0;1;0;0
947501764487581696;0;1;0;0
947583299865776128;1;0;0;1
947389757440516097;0;1;0;0
947227156358234113;2;0;1;0
947444344549552129;1;0;0;1
947193000836435969;2;0;1;0
947614160069840896;1;0;0;1
947497876501954561;0;1;1;0
947225806249627649;2;0;1;0
947217279653068800;0;1;0;0
947169222022414337;1;0;0;1
947488571484770304;2;0;1;0
947546225494122496;0;1;0;0
947482675383881729;2;0;1;0
947148896245047296;2;0;1;0
947229853807505408;1;0;0;1
947136872710520834;0;1;0;0
947190448879046656;1;0;0;1
947165897780801536;2;0;1;0
947221269556154371;0;1;0;0
947582565107593218;2;0;1;0
947127724388339712;1;0;0;1
947492393821057024;1;0;0;1
947148280835686403;1;0;0;1
947574422302613507;1;0;0;1
947603341076549637;1;0;0;1
947530298807455744;2;0;1;0
947355739554766848;0;1;0;0
947577411608174593;0;1;0;0
947357651494727685;2;0;1;0
947575549446230016;2;0;1;0
947314494212071424;1;0;0;1
947273867822751744;2;0;1;0
947165402840354816;0;1;0;1
947499916871450626;2;0;1;0
947260184572973057;1;0;1;1
947539171324948481;0;1;0;0
947136258836500480;0;1;0;0
947165519303413761;2;0;1;0
947220169868398594;2;0;1;0
947520285431025664;1;0;0;1
947476302214451200;2;0;1;0
947618361063731200;1;0;0;1
947153411711164416;2;0;1;0
947440456513794049;1;0;0;1
947168470684389377;1;0;0;1
947245623979401217;1;0;0;1
947528086425427968;2;0;1;0
947149012074975232;2;0;1;0
947368537127116800;0;1;0;0
947574669678448640;0;1;0;0
947485580363030528;1;0;0;1
947231998476775424;0;1;1;0
947498472902717440;2;0;1;0
947270854869704704;2;0;1;0
947431481336631301;2;0;1;0
947574615311777796;1;0;1;1
947225627857473537;1;0;1;1
947590678476918785;2;0;1;0
947507937064472577;1;0;0;1
947568798529409029;1;0;0;1
947228709005811712;0;1;0;0
947334671377010689;0;1;0;0
947211728210849792;0;1;0;0
947163180119228417;1;0;0;1
947233490227154944;0;1;0;0
947438056856055808;0;1;0;0
947203387489124353;0;1;0;0
947204955739389952;1;0;0;1
947222942794043393;1;0;0;1
947480064349933568;1;0;0;1
947139840126128129;0;1;1;0
947601923623993344;1;0;1;1
947509404592721920;0;1;0;0
947327410441158656;1;0;1;1
947567538153680896;1;0;0;1
947492678203297792;1;0;0;1
947276695178022913;2;0;1;0
947558327801864192;1;0;0;1
947195694649143296;2;0;1;0
947537961620529152;1;0;0;1
947124975697301504;2;0;1;0
947611702874464258;1;0;0;1
947279640489529344;0;1;0;0
947464586478964736;0;1;0;0
947527624741605380;2;0;1;0
947440395935416321;0;1;0;0
947384899991932929;0;1;0;0
947508083424661504;1;0;0;1
947313904400650242;1;0;0;1
947366227340439552;0;1;0;0
947444731046277127;2;0;1;0
947613395594948608;0;1;0;0
947331027206369280;2;0;1;0
947467535536017410;0;1;0;0
947156490225377281;2;0;1;0
947193057979588610;1;0;0;1
947241662677487616;2;0;1;0
947297270701215744;1;0;1;1
947177957738647553;1;0;0;1
947219959264022529;2;0;1;0
947353419915890688;0;1;0;1
947502455570468864;2;0;1;0
947133131848593410;0;1;0;0
947539411557896193;1;0;0;1
947159846062829568;0;1;0;0
947130674317799426;0;1;0;0
947541994301153280;1;0;0;1
947436647972352000;1;0;0;1
947565123840958464;1;0;0;1
947491341914791937;2;0;1;0
947469844437454849;1;0;1;1
947431433559330816;0;1;0;1
947165445970448384;0;1;1;0
947139731254427649;1;0;1;1
947477622996553729;1;0;0;1
947290727469416448;1;0;1;1
947256155931373575;1;0;0;1
947306539655843840;2;0;1;0
947318496639225857;0;1;0;0
947162587820580865;0;1;0;0
947307065298636800;1;0;0;1
947237996457205761;0;1;0;0
947491813215977472;0;1;0;0
947175504334999552;0;1;0;0
947146740431499264;1;0;1;1
947190133270433792;0;1;0;1
947335331916984320;2;0;1;0
947255838812413954;2;0;1;0
947417547502161921;2;0;1;0
947186778393284608;0;1;0;1
947197599609704448;0;1;0;0
947510052671324170;2;0;1;0
947137719620308993;2;0;1;0
947546664901935110;1;1;0;1
947358188751405056;0;1;0;0
947531177199636482;2;0;1;0
947131767424557061;1;0;0;1
947206546559307777;1;0;0;1
947487776823394304;2;0;1;0
947446778827366400;2;0;1;0
947147627501703168;2;0;1;0
947474974440415234;2;0;1;0
947494952992251904;1;0;0;1
947532304779374592;2;0;1;0
947436560416358401;2;0;1;0
947543923358162944;1;0;0;1
947214843945345024;2;0;1;0
947156404560900096;0;1;0;0
947460845616975872;1;0;0;1
947273871471681537;0;1;0;0
947273869060063232;0;1;0;0
947502380320477184;2;0;1;0
947382810460827648;1;0;0;1
947428684163637248;2;0;1;0
947136916918382593;2;0;1;0
947585644993417216;1;0;0;1
947574667719700480;2;0;1;0
947288690342146048;2;0;1;0
947512570075738114;1;0;0;1
947457408783093760;0;1;0;0
947129772760616961;1;0;0;1
947165786833113089;0;1;0;0
947249912860893184;1;1;0;1
947340730770497537;0;1;0;0
947135300198903809;1;0;0;1
947137475377598465;1;0;1;1
947591182380617736;1;0;0;1
947261745000800257;2;0;1;0
947348770995429376;1;0;0;1
947382756505522177;1;0;0;1
947505297752559616;2;0;1;0
947528735007309824;1;0;0;1
947281139458338816;1;0;1;1
947347000999243776;0;1;1;0
947127217989083136;1;0;0;1
947166177662570499;0;1;0;0
947367315779317765;2;0;1;0
947225944611348480;0;1;0;0
947192986215043072;0;1;0;0
947540349131640832;2;0;1;0
947389614439976960;1;0;1;1
947214701037064193;2;0;1;0
947277602321940480;0;1;0;0
947313854723313664;1;0;0;1
947280617363951616;2;0;1;0
947225792043462657;0;1;1;0
947132331059568640;0;1;0;0
947277291683500038;2;0;1;0
947125803933995008;2;0;1;0
947537831517442048;0;1;0;0
947478281959469056;1;1;0;1
947357580141228032;0;1;0;0
947197641716355072;1;1;1;1
947588184153739264;1;0;0;1
947292187385040897;0;1;0;0
947598192455151621;1;0;0;1
947609578929303552;1;0;0;1
947153803937243136;0;1;1;0
947221792426545152;1;1;0;1
947573561140695041;1;0;0;1
947120130709958658;2;0;1;0
947221375177187330;1;0;0;1
947279678489759744;1;0;1;1
947610289377239040;2;0;1;0
947295522636877824;2;0;1;0
947238388637360129;2;0;1;0
947260349593673728;0;1;0;0
947151411518812160;0;1;0;1
947418623806771200;2;0;1;0
947589939939758085;2;0;1;0
947119494740267014;0;1;0;0
947286257792675840;1;0;0;1
947539462011129856;2;0;1;0
947290213822423040;0;1;1;0
947227446113214464;2;0;1;0
947146294526660608;1;0;1;1
947166363914833922;0;1;0;0
947222157230161920;0;1;0;1
947474378391920641;1;0;0;1
947438503767527424;2;0;1;0
947148814049148930;0;1;0;0
947301003736387584;0;1;0;0
947392171774218241;0;1;1;0
947575409373216768;2;0;1;0
947290112148365314;1;0;0;1
947237860180029440;1;0;0;1
947355738300669952;2;0;1;0
947349378167123968;2;0;1;0
947489304846241793;0;1;0;0
947134334175203328;0;1;0;1
947183101263966209;0;1;0;0
947185126085218304;2;0;1;0
947235339781005312;0;1;0;0
947426960157958144;1;0;0;1
947222157247107073;1;0;0;1
947131423219245058;0;1;0;1
947469882022612993;1;0;1;1
947145731080577024;1;0;1;1
947222060555743233;1;0;0;1
947165375220867072;2;0;1;0
947281837294006272;0;1;0;0
947164893593128963;0;1;0;0
947260350646407168;1;0;0;1
947167132583911424;1;0;0;1
947182992761458689;1;0;1;1
947186750190796800;0;1;0;0
947210742855618560;0;1;0;0
947167318064467969;0;1;1;0
947210716481835010;0;1;1;0
947482628030193664;2;0;1;0
947242354846633985;1;0;0;1
947530441371897857;2;0;1;0
947365585855315968;2;0;1;0
947475287499001862;1;0;0;1
947301252643221504;1;1;0;1
947257265479933954;0;1;0;0
947541611591946241;0;1;0;0
947350106868736000;2;0;1;0
947452294034886657;2;1;1;1
947508273758064640;1;0;1;1
947396019897151488;0;1;1;0
947494708611309568;1;0;0;1
947403410827071488;2;0;1;0
947260173063720960;0;1;0;0
947352158747447296;2;0;1;0
947297279127576576;2;0;1;0
947249008543662082;1;0;1;1
947575579049648128;1;0;0;1
947419809465200640;1;0;0;1
947450296334249987;1;0;0;1
947273867684220929;2;0;1;0
947490318957645825;2;0;1;0
947262772403941376;2;0;1;0
947243117048197120;2;0;1;0
947543114658566145;1;0;0;1
947580611832811522;0;1;0;0
947472984792600576;2;0;1;0
947316705780490241;0;1;0;0
947139191556554752;1;0;0;1
947382594798206976;0;1;0;0
947147015896563714;2;0;1;0
947517732756557827;1;0;0;1
947462958300483584;0;1;0;0
947182274046562304;1;0;0;1
947169530857639937;2;0;1;0
947512580783796224;0;1;0;0
947346328929161216;2;0;1;0
947253301728370689;1;0;0;1
947282242694414336;2;0;1;0
947190804744830976;0;1;0;0
947491079326224385;2;0;1;0
947201184124694528;1;0;1;1
947499920755486725;0;1;0;0
947492818490216448;2;0;1;0
947163556839067648;2;0;1;0
947486860670132224;1;0;0;1
947166722385203200;1;0;0;1
947215708500447233;1;0;1;1
947526097490579456;2;0;1;0
947542963869151233;2;0;1;0
947598777774428160;1;0;0;1
947238653067169792;1;0;0;1
947233569339949056;2;0;1;0
947562996020150272;1;0;0;1
947559233213620224;2;0;1;0
947300674110291969;1;0;1;1
947245756565676037;0;1;0;0
947227601411637254;2;0;1;0
947240135803928577;2;0;1;0
947558907718914049;2;0;1;0
947518973301714946;0;1;0;0
947276625711841280;2;0;1;0
947601180900728832;0;1;1;0
947502406383828992;1;0;0;1
947139179053486080;1;0;1;1
947541962822791168;2;0;1;0
947292323209207808;1;0;1;1
947306809030668289;2;0;1;0
947144630398746624;0;1;1;0
947308820832968704;1;0;0;1
947156712636801025;0;1;0;0
947382612410036225;1;0;0;1
947603293848637440;1;0;0;1
947438455293906950;0;1;0;0
947454269510254592;0;1;0;0
947612904173522944;1;0;0;1
947177031808061441;0;1;0;0
947166886222901248;2;0;1;0
947471138682175488;0;1;0;0
947136248602390528;0;1;0;0
947574083771879426;2;0;1;0
947203259441254401;2;0;1;0
947139336247668737;2;0;1;0
947429553072459777;1;0;0;1
947429629748445185;0;1;0;0
947378556920741888;0;1;0;0
947127171600060416;0;1;0;0
947167990465908737;0;1;0;0
947464366785515520;0;1;0;0
947119941060349952;2;0;1;0
947384475478044672;1;0;1;1
947242792698257408;2;0;1;0
947187549411225600;0;1;0;0
947190280121475072;2;0;1;0
947200553641283590;0;1;0;0
947517032408408064;2;0;1;0
947537861909385218;0;1;0;0
947307674365968385;0;1;0;0
947144468712644611;2;0;1;0
947553872045838336;2;0;1;0
947528102317608961;1;0;1;1
947243224564944897;1;0;0;1
